0.1 0.0
0.199 0.02
0.294 0.0596
0.3821 0.1182
0.4605 0.1947
0.5265 0.2877
0.5777 0.3952
0.6119 0.5154
0.627 0.6456
0.6216 0.7833
0.5943 0.9256
0.5443 1.0694
0.4711 1.2117
0.3745 1.349
0.255 1.4782
0.1132 1.596
-0.0496 1.6993
-0.2319 1.785
-0.4317 1.8503
-0.6466 1.8926
-0.8739 1.9095
-1.1107 1.8991
-1.3536 1.8595
-1.5991 1.7897
-1.8435 1.6887
-2.083 1.556
-2.3136 1.3919
-2.5314 1.1967
-2.7324 0.9715
-2.9129 0.7177
-3.069 0.4375
-3.1972 0.1331
-3.2944 -0.1926
-3.3574 -0.5363
-3.3838 -0.8944
-3.3712 -1.2628
-3.318 -1.6373
-3.2228 -2.0134
-3.0848 -2.3862
-2.9037 -2.7511
-2.6799 -3.1029
-2.4143 -3.4368
-2.1081 -3.7478
-1.7635 -4.0311
-1.383 -4.2822
-0.9697 -4.4966
-0.5271 -4.6703
-0.0595 -4.7996
0.4287 -4.8812
0.9326 -4.9123
1.4467 -4.8905
1.9655 -4.8142
2.4831 -4.6823
2.9936 -4.4942
3.4908 -4.2502
3.9686 -3.951
4.4207 -3.5982
4.8413 -3.194
5.2246 -2.7412
5.5649 -2.2433
5.857 -1.7044
6.0963 -1.1294
6.2782 -0.5235
6.3991 0.1076
6.4557 0.7576
6.4455 1.4198
6.3666 2.0873
6.2178 2.753
5.9988 3.4094
5.7101 4.0491
5.3527 4.6646
4.9287 5.2486
4.441 5.7938
3.893 6.2932
3.2891 6.7403
2.6344 7.1288
1.9347 7.453
1.1963 7.7077
0.4262 7.8885
-0.368 7.9915
-1.1786 8.0138
-1.9971 7.9531
-2.815 7.8081
-3.6236 7.5782
-4.414 7.2641
-5.1773 6.867
-5.9049 6.3893
-6.5881 5.8341
-7.2187 5.2058
-7.7889 4.5092
-8.2913 3.7503
-8.719 2.9357
-9.066 2.0729
-9.3269 1.1699
-9.4971 0.2354
-9.5729 -0.7215
-9.5515 -1.691
-9.4312 -2.6633
-9.2112 -3.6281
-8.8919 -4.5754
-8.4746 -5.4946
-7.9618 -6.3757
-7.3569 -7.2087
-6.6646 -7.9839
-5.8903 -8.6922
-5.0407 -9.3248
-4.1231 -9.8737
-3.1459 -10.3317
-2.1182 -10.6922
-1.0497 -10.9498
0.0491 -11.0999
1.1674 -11.139
2.294 -11.0647
3.4171 -10.8758
4.5251 -10.5723
5.6063 -10.1552
6.649 -9.6271
7.6416 -8.9914
8.5731 -8.2529
9.4328 -7.4176
10.2106 -6.4925
10.8971 -5.4857
11.4837 -4.4062
11.9627 -3.2641
12.3274 -2.0701
12.5723 -0.8357
12.6928 0.427
12.6859 1.7054
12.5495 2.9865
12.2832 4.2572
11.8876 5.5042
11.3648 6.7143
10.7183 7.8746
9.9528 8.9722
9.0746 9.9951
8.0909 10.9315
7.0103 11.7705
5.8426 12.5022
4.5983 13.1174
3.2893 13.6081
1.928 13.9676
0.5276 14.1902
-0.8979 14.2718
-2.3344 14.2095
-3.7674 14.002
-5.1819 13.6495
-6.5633 13.1534
-7.897 12.5171
-9.1688 11.745
-10.3646 10.8432
-11.4713 9.8193
-12.4764 8.6822
-13.3682 7.4419
-14.1361 6.1098
-14.7708 4.6983
-15.2639 3.2209
-15.6086 1.6917
-15.7995 0.1258
-15.8327 -1.4613
-15.7059 -3.0537
-15.4183 -4.6352
-14.971 -6.1896
-14.3664 -7.7005
-13.6088 -9.1521
-12.7041 -10.5288
-11.6598 -11.8156
-10.4847 -12.9985
-9.1894 -14.064
-7.7855 -14.9999
-6.2861 -15.7951
-4.7053 -16.4399
-3.0583 -16.9259
-1.3611 -17.2464
0.3696 -17.3961
2.1165 -17.3715
3.8621 -17.171
5.5887 -16.7945
7.2783 -16.244
8.9134 -15.5229
10.4768 -14.6368
11.9517 -13.5929
13.3222 -12.3999
14.5733 -11.0684
15.6907 -9.6105
16.6618 -8.0395
17.4752 -6.3701
18.1207 -4.6184
18.5901 -2.8012
18.8768 -0.9362
18.9758 0.958
18.8843 2.8627
18.601 4.7584
18.127 6.626
17.4649 8.4461
16.6197 10.1998
15.598 11.8686
14.4083 13.4347
13.0611 14.8812
11.5683 16.1921
9.9437 17.3529
8.2024 18.3502
6.361 19.1723
4.437 19.8092
2.4493 20.2524
0.4172 20.4958
-1.639 20.5347
-3.6987 20.3669
-5.7412 19.992
-7.7454 19.4118
-9.6908 18.6303
-11.5571 17.6534
-13.3246 16.4892
-14.9745 15.1477
-16.489 13.6408
-17.8515 11.9823
